FILENAME:	2490_1106_1138
A.89:   A gun is a gun to them. 

B.90:   #Yeah#. 

A.91:   #They# can play with anything and make it a gun. That's exactly right. 

B.92:   Yeah, so you like to do, I think they ought to do that with toy guns, they ought to make them very reasonably -- 

A.93:   #Right.# 

B.94:   -- #do something# outrageous to them. 

A.95:   #Right. Exactly.# 

B.96:   #You know,# so that they're not very distinguishable from a real gun. 

A.97:   That's right. That's a good idea. I was, uh, watching T V yesterday and there is a town in Georgia, and it's the law that you have a gun, every adult, you know, uh, is able to carry a gun, and, 

B.98:   #That's kind of (( )),# 

A.99:   #and they encourage it.# 

B.100:   They encourage it? 

A.101:   Yeah. And, the police love it. Which really surprised me -- 

B.102:   Um. 

A.103:   -- and, and, I think, and that's what they were going after, uh, they went to interview this town, I mean it's a little dinky town, they went to interview them about the gun control laws [lipsmack] and, uh, the police said, (( )) all the people said, that's fine we could care less. You know, we're all honest, and everything like, 

B.104:   Huh. 

A.105:   that, we, we all carry them, but we, we don't mind being checked. And, uh, and I think it kind of took that uh, neatness away from it, you know, like, well heck, everybody's got one, you know and, 

B.106:   I don't know. I, 

A.107:   So, it was, it was quite unusual to see the people in that #town.# 

B.108:   #That's# kind of an odd thing. I don't know, I have a gun and, uh, my folks have always had. I learned to shoot when I was real #little.# 

A.109:   #Uh-huh.# 

B.110:   I think that's a lot of it too, is that people need to teach their kids, 

A.111:   #Right.# 

B.112:   #what# not to, what to do and what not to do. 

A.113:   Exactly. 

B.114:   Because I started shooting, my Dad started letting me shoot like a little air B B #gun,# 

A.115:   #Uh-huh.# 

B.116:   when I was probably five or six years #old.# 

A.117:   #Yeah.# 

B.118:   But, you know, it was, this is how you hold it, this is the only place that you do it, which, was, 

A.119:   #Right.# 

B.120:   #you know# out far and away and you don't ever touch it unless I'm here, and you don't -- 

A.121:   #That's what we're doing.# 

B.122:   -- #you don't point it# at people, and then they had, then they went to the Texas Parks and Recreation, I guess, but anyway the s-, hunter safety program, 

A.123:   Oh, yeah. 

B.124:   that you have to do now. I think it started in about nineteen seventy. 

A.125:   Oh. 

B.126:   If you want, if you want to go deer hunting and your birthday's after nineteen something, 

A.127:   Uh-huh. 

B.128:   fifty-five or something, then you have to attend one of these hunter safety courses -- 

A.129:   #Well, that's neat.# 

B.130:   -- #or you can't get a# deer license. 

A.131:   Well, that's real neat. 

B.132:   And it, and it, it's basic stuff, it's like, it's don't, you know, when you're climbing over a barbed wire fence, don't point, lean your gun against it, you know, 

A.133:   Yeah. 

B.134:   and then you crawl over it, 

A.135:   Right. 

B.136:   and shoot yourself. And, uh, 

A.137:   Well, that's real good. 

B.138:   those things happen. It, it is always incredible to me the number of times those kind of stupid accidents happen to people. 

A.139:   Right. Right. And they usually are real basic, 

B.140:   Yeah, #put the safety on the gun.# 

A.141:   #common sense things.# 

B.142:   Don't assume, always assume it's loaded. That's, that's got to be the most common #thing that people,# 

A.143:   #I know and# people don't want to believe that. 

B.144:   Yeah. It's, oh, it's empty, it's empty. Boom! 

A.145:   Yeah, well see I, 

B.146:   I took the clip out, or whatever and I forgot about the one in the #chamber [laughter].# 

A.147:   #In the# chamber [laughter]. That's exactly right. 

B.148:   Oh. 

A.149:   Yeah, well we, we're trying to teach our daughter. She knows real well about, uh, about her Daddy's guns, 

B.150:   #Oh, yeah.# 

A.151:   #what not to do# and what to do around them. 

B.152:   Does he got them locked up all the time too? #When he's (( )),# 

A.153:   #Yeah, um, and,# and she, and she's real, um, she'll know, she'll even tell her friends, don't ever, 

B.154:   Don't even think about it, yeah. 

A.155:   touch my Daddy's guns or something like that. 

B.156:   Yeah. 

A.157:   So, she's real, she's real good about it. And, she's never been curious, 

B.158:   Um. 

A.159:   I mean, cause he's always, you know, if he has them out, cleaning them, you know, she can be there and he'll tell how he's doing it or, you know, show her the insides or stuff like that. 

B.160:   Yeah, if you make it where it's not something, 

A.161:   to be feared --- 

B.162:   #Curious,# 

A.163:   -- #and,# 

B.164:   not something to be curious about and not something to be totally scared about. 

A.165:   Right, exactly. 

B.166:   If it, if it's just one more piece of something, but they, but they've got to understand, like you said, never touch it. 

A.167:   Right, they'd have that respect for #what it does,# 

B.168:   #Yeah.# 

A.169:   and what it can do. 

B.170:   Ours is a, we have a shotgun, and it's up in the closet, 

A.171:   Uh-huh. 

B.172:   and then the shells are in another part [noise] and it's something to think about, and I got it because my husband used to travel, and be out, he was out of the country at one time for three months. 

A.173:   Oh, yeah. 

B.174:   And, I was like, I live in a nice neighborhood, but #still,# 

A.175:   #still# [laughter]. 

B.176:   and then I've got it so far, sometimes [noise] I think, I wonder if I, I'm not about to load it because I, you know, I assume that the kids are not going to ever get up #there,# 

A.177:   #Uh-huh.# 

B.178:   and it's in a case, and it's, you know, it's put up and it's away and all that, 

A.179:   Right. 

B.180:   but, I don't want to take the chance and, I think, if somebody ever does break in, 

A.181:   [Laughter] He's got to go to a lot of trouble. 

B.182:   it's going to take me a year to find the shells, 

A.183:   Yeah. 

B.184:   and then get it, 

A.185:   hold on, hold on [laughter], 

B.186:   Yeah. 

A.187:   [Laughter] He's in here somewhere, I know he is. 

B.188:   Right. 

A.189:   Yeah. Well, I know how to use one. We, we go hunting every once in a while and he showed me how to use his guns and I really enjoy it but, boy if someone did break in, I don't, I don't know that I could or would even grab it [sniffing]. 

B.190:   I know, I, I used to think about that, it was a lot easier when I was, when I was single, it was one thing and when I was just married with no kids, 

A.191:   Uh-huh. That's true. 

B.192:   when it was just me, it was an easy decision. 

A.193:   Yeah. 

B.194:   It was like, you, you come after me, you're going to get it. 

A.195:   Yes, 

B.196:   you know, and now there's so many other things, where are the kids, what are they doing, 

A.197:   Yeah. 

B.198:   you know, where is this person coming in from, 

A.199:   Right. 

B.200:   uh, you've got, and, and, if, if you manage to get it out and then, you know, what, how can you even afford to, to think about what, what you're going to do because you don't know where your kids are, 

A.201:   True. 

B.202:   at the same time. 

A.203:   True, well we, we have dogs -- 

B.204:   [Sigh] Ugh. 

A.205:   -- that are pretty, you know, very protective, you know [laughter]. 

B.206:   We feel if they make enough noise that, 

A.207:   Yeah, if they're stupid enough to come through then [laughter]. 

B.208:   Yeah. It, it, we have two big dogs in the backyard, 

A.209:   Yeah. 

B.210:   and always kind of thought that too, #kind of an extra buffer.# 

A.211:   #Yeah. They've got to be pretty stupid,# and, and most people that, uh, break in or whatever, go to houses without the dogs, 

B.212:   Yeah. 

A.213:   luckily. 

B.214:   Anything, that the, well any, any advantage that they can take. 

A.215:   Right. And, that's one of them so, 

B.216:   Unfortunately, yeah. 

A.217:   Well, 

B.218:   Guess it makes it worth the dog food over the years [laughter]. 

A.219:   [Laughter] Yeah. Really does. Well, do you think we've, 

B.220:   Yeah, I, I think that's about all I can, 

A.221:   Me too, on gun control. 

B.222:   We, we're in pretty good agreement actually on it. 

A.223:   Yeah. I think we are. 

B.224:   It would be an interesting, it would be even more interesting you, you to be some of these people who are at the other end of the spectrum. 

A.225:   Right. Right. I'm glad you're not [laughter]. 

B.226:   [Laughter] Me too. I'm glad to find there's another reasonable person in Garland. 

A.227:   Okay. Well good! 

B.228:   Well, it's been nice talking to you. 

A.229:   You too, thanks. #Bye-bye.# 

B.230:   #Bye-bye.# [noise]. 
