target,context
"So, um, I, I think that, uh, it became very evident in the beginning of senior year when he actually had to sit down with the applications, he had about six schools that he was interested in, but he really decided that he wants to take engineering but he also wants to keep a liberal arts degree --","['So.', "":  Uh, I have a son at the present moment who is a senior in high school, and, uh, he has, uh, made three applications to schools that give a double degree program, because that's what he wanted to, uh, take."", 'So he applied to the University of Texas at Austin, and to the University of Pennsylvania, and to Rice.', ':  Uh-huh.', "":  So, uh, he's waiting at this time, uh, to see what kind of, uh, acceptances and money grants might, uh, come in for him.""]"
:  I think he #might want to go# --,"[':  -- dedicated --', ':  Right.', ':  -- test tube scientist.', 'So, uh.', "":  Is he going on for his Master's --""]"
":  #Uh-huh, I,# I think it is, too.","["":  That's right."", ':  -- it works out pretty well for him.', "":  It's amazing."", ""Isn't it amazing everything they do these days?"", "":  It is, #it's wonderful, it's wonderful.#""]"
:  think of --,"[':  Uh-huh.', ':  -- and, uh, my daughters and sons both did that, and they, they came up --', ':  Yeah.', ':  -- with some of the, you know, you would never,', ':  [Throat_clearing].']"
":  It is, you know, I think the problem for me has always been trying to find a time of day that's going to work.","[':  #[Laughter]', ""Some, some,# a little something, yes, but, uh, I really enjoy walking, and somehow, I'll do it for a while, maybe a month or two months, and, you know, walk two miles a day or something, and then, then quit."", ':  Uh-huh [laughter].', ':  Hard, hard to schedule in.', 'What about you?']"
":  Um, I think probably the best way to get it done is to do it in the morning, but --","[':  Uh-huh [laughter].', ':  Hard, hard to schedule in.', 'What about you?', "":  It is, you know, I think the problem for me has always been trying to find a time of day that's going to work."", ':  Yeah.']"
:  And you're thinking about getting them.,"[""That's."", ':  Yeah, and so do you do it?', "":  Well you know, tomorrow night there's a sale at one of the shopping centers close by on barbells [laughter]."", ':  Uh-huh.', ':  Well.']"
":  So if I purchase my own I think I'm more inclined to do so, #and they're a# --","[':  Oh.', ':  -- for a long while --', ':  Yeah.', ':  -- but I know I need to get more regular and do it at home.', ':  Yeah.']"
"So, you've thought about that as well, #a bike exercise.#","["":  #That's the# --"", ':  #Now my daughter has a# --', ':  -- exactly the same with me.', "":  -- a bike, but it's a real bike, and she cycles and she can put it on a thing, but you have to be the right size #to fit that.#"", ':  #Oh.#']"
":  #I've thought, I've thought about# doing that.","[':  #Now my daughter has a# --', ':  -- exactly the same with me.', "":  -- a bike, but it's a real bike, and she cycles and she can put it on a thing, but you have to be the right size #to fit that.#"", ':  #Oh.#', ""So, you've thought about that as well, #a bike exercise.#""]"
But I think it's just the opposite with me.,"[':  -- yeah, yeah, really.', "":  It's interesting some people choose to go to classes because they feel that that will maintain their motivation."", ""They've either invested the money in it, or there're people there that expect them or --"", ':  Yes.', ':  -- whatever.  [laughter]']"
":  -- and I, and I don't know, hopefully you, you'd think that if they were making that kind of money they would try to have a little pride in, in, uh, the product that they put out, so it is a good car, but --","["":  -- #and that's, you know, that's more than# a lot of people make sala-, you know, #professionals make.#"", "":  #Well, that's# it, I've been working for, oh, thirty-five years for the government and think I've got a pretty good job, but I don't make that much."", "":  Yeah.  [laughter] I don't either."", "":  And I've got, uh, a degree and everything else --"", ':  Yeah.']"
"And I, and I think if, from what I can hear, just because they, uh, they don't take the pride that, uh, the Japanese do, or something, in, in their work or workmanship, that when something comes out, and their name's on it, they want, uh, to be the best.","[':  #Sure.#', "":  -- sixty, seventy thousand, and then, uh, she's had it in the, in the sh-, garage and shop and she called today, said (( )) leaking oil out of the head gasket."", ""She's only got about twenty- thousand on it."", ':  Yeah.', "":  So she's got to take that back in and have them work on it, but.""]"
"I, I don't know, I think I'd kind of be too impatient to, uh, to sail, but, uh, I don't know, it might be kind of fun, too, just to, uh, relax and, I guess it's all wind powered, isn't it, #when you sail?#","[':  -- uh, we burn up a tank or two of gas a day, and get a really good sunburn --', ':  I bet [laughter].', ':  -- and just have a great time.', ':  [Laughter] I bet.', "":  But my experience with boating and, at, at least that way, I don't know, the sailing might be different.""]"
"I think they're, they're absolutely beautiful.","[""I, I don't know, I think I'd kind of be too impatient to, uh, to sail, but, uh, I don't know, it might be kind of fun, too, just to, uh, relax and, I guess it's all wind powered, isn't it, #when you sail?#"", ':  #It is.#', ""Uh, you, you can have a motor on it, and, and a lot of them do, a, uh, just because if you get out there and there's no wind, it's pretty hard to get back."", ':  Uh-huh.', ':  I find it very relaxing.']"
"I thought that they, you know, it was always twelve, twelve men tried and true, so to speak.","[':  Uh, it must have been six.', ':  Uh-huh.', ':  Yeah.', "":  That's kind of curious to me."", ""I didn't realize until the, uh, Wayne Kennedy Smith trial, uh, a few months ago that they had six member juries.""]"
":  Um, do you think, I mean, do you think, our invest-, the investment in lives and money was worth it?","[':  Okay.', ':  [Talking]', 'Okay.', 'Sure, now.', 'Well, Mark, um, what was that again?']"
":  What, what effects do you think it's had on our country?","[':  Um, do you think, I mean, do you think, our invest-, the investment in lives and money was worth it?', ':  No, not, not really.', ':  I totally agree with that.', '#Um.#', ':  #Um.#']"
"I think (( )) you know, that's pretty typical that, of the entire, entire involvement over that, you know, that nothing was really addressed, it was-, it wasn't, you know, it was never we, we announced that we were going to war, it was such a gradual and subtle, you know --","[""Um, uh, well, the (( )) says we should, uh, go into the grief that, that's there and, you know, (( )) presidents have always avoided that --"", ':  Uh-huh.', ':  -- as a country.', ""So it's pretty serious, really, you know, lot of things that aren't being addressed."", ':  Uh-huh.']"
"Um, so, um, do, do, do you think that like, uh, um, for example like in, in this past war, in the Persian Gulf war --","[':  I vaguely remember we, um, we had a, we had a, um, spy ship torpedoed or something.', "":  Yeah, yeah, only only it was foggy and finally President Johnson said, well, they're weren't really sure whether it was a dolphin or a torpedo."", ':  Oh [laughter].', "":  Isn't that something?"", ':  Uh-huh.']"
:  What do you think about drug testing?,[]
@:  I think it's pretty good.,[':  What do you think about drug testing?']
"I think they should do it, especially in, uh, in companies where, uh, you deal with, uh, either with other people or with, uh, stuff that, uh, I want to say, uh, deals directly with people's lives, like hospitals [laughter] and stuff.","[':  What do you think about drug testing?', ""@:  I think it's pretty good.""]"
":  -- and I think, uh, they may require it for like the field engineers, the people that actually go out, you know, and drive their trucks around and stuff like that --","[':  [Laughter].', ':  Was it a large or a small company?', "":  It's a big company."", ""It's, uh, M C I telecommunications --"", ':  Uh-huh.']"
:  -- I think what they have to do in the interest of fairness or to keep from getting sued or something is test everybody in the company --,"["":  Yeah, I was kind of surprised, but, defense contractors only want you doing it because they don't want you to sell drugs, or buy drugs, for, you know, for secrets or something [laughter] you know."", "":  Well, sure, I, there's that part of it I think, and, and I think most defense contractors also have other divisions of the company --"", ':  Right.', ':  -- that can also be affected by that, and --', ':  Uh-huh.']"
":  I, I don't know, I just think it's a sick thing that we've [laughter] come to that.","[':  Um.', ':  -- at least on a random basis.', ':  Right.', "":  In other words, no matter whether you work in, uh, defense or consumer products or whatever, you'd, you have an equal chance of being tested."", ':  Uh-huh.']"
"I mean, if your company tests positive, I mean, I, I, I would think there was a way, there'd be a way around it if, I mean, even if you did test positive, you could probably get tested again, and, uh, test negative.","[':  Oh.', ':  -- like that.', ':  Uh-huh.', 'Well, they, uh, I mean, all the places I went to, you know, they gave us, you know, small tests and stuff like that.', 'I guess if, uh, you could always get a second opinion.']"
":  Yeah, and a matter of fact I think there're too many of these little databases around [laughter].","[':  -- and certainly the records that would be left behind --', ':  Uh-huh.', ':  -- you know, everybody has databases these [laughter] days,', ':  [Laughter].', "":  and they know a lot more about me than I'll ever remember, I'm sure.""]"
"Uh, in fact, I, I think I know your sons, Danny and Sean, right?","['[laughter]', 'But, uh, we used to live in California, and we did a little bit of camping in California.', 'Not all that much, but, um, enough to get a little flavor for it.', 'Uh, where mostly do you go with your camping?', ':  Well, mostly, uh, well, boy scout camps near, uh, near Dallas.']"
":  -- and so that, that was a, I, I think it's a lot, in a way, easier to go canoe camping, because you don't have to watch the weight so much --","[':  Oh, my.', ':  You canoe, uh, from lake to lake, sometimes by rivers where they connect, or else you have to portage your canoe and all your equipment --', ':  Uh-huh.', ':  -- to the next lake --', ':  Uh-huh, um.']"
So what do you think about capital punishment?,"[':  Okay.', 'Are you ready for me to push one?', ':  Sure.', 'Anytime.', ':  Okay.  [beep]']"
"@:  Well, I think it's a necessary, uh, a necessary tool that, uh, needs to be used, uh, to establish justice in some cases, #and to# --","['Are you ready for me to push one?', ':  Sure.', 'Anytime.', ':  Okay.  [beep]', 'So what do you think about capital punishment?']"
":  -- that, that it, if used properly, uh, I think it can be, uh, it wou-, it would be a useful deterrent.","['Anytime.', ':  Okay.  [beep]', 'So what do you think about capital punishment?', ""@:  Well, I think it's a necessary, uh, a necessary tool that, uh, needs to be used, uh, to establish justice in some cases, #and to# --"", ':  #Uh-huh.#']"
What do you think about Jeffrey Dahlmer?,"['So what do you think about capital punishment?', ""@:  Well, I think it's a necessary, uh, a necessary tool that, uh, needs to be used, uh, to establish justice in some cases, #and to# --"", ':  #Uh-huh.#', ':  -- that, that it, if used properly, uh, I think it can be, uh, it wou-, it would be a useful deterrent.', ':  Uh-huh.']"
":  Yeah, well, I think that, I think there are certain [breathing] people in society that have no redeeming --","[':  #Uh-huh.#', ':  -- that, that it, if used properly, uh, I think it can be, uh, it wou-, it would be a useful deterrent.', ':  Uh-huh.', 'What do you think about Jeffrey Dahlmer?', ""Like, not getting, since they don't have it in.""]"
"I mean, I think I'm definitely for it and stuff when I think of someone like, like him that killed all those people and has no remorse or anything, you know.","["":  That's right, I mean, they probably, you know, we, the, you know, our justice system is not designed to be either efficient or effective or just."", ':  Yeah.', "":  It, it's designed as a set of artificial rules that, you know, judges and lawyers play with each other."", ':  Uh-huh.', 'I know, I, I guess I could be for it and against it in some ways.']"
"Yeah, I think I'd, I'd like that, I don't know, uh, I have a friend who drives an Acura Legend which is very comfortable car --","[':  [Laughter]', ""Well, I found out they're pretty good whenever, uh, especially on weather like we're having today and, and, uh, the roads are so slippery --"", ':  Uh-huh.', ':  -- that antilock brakes are one of the better ones to have.', ':  Yeah.']"
":  I was thinking, golly, and, and, you know, it's partly my fault.","[':  Would you?', 'What,', ':  Dodge, Plymouth, Chrysler, something in that line.', "":  Yeah, that's interesting because, I mean, I, I was hearing, just o-, [laughter] on the way home from work the other day I heard something on the news about the trade deficit for December, the figures were some, some very large number."", ':  Uh-huh.']"
:  #I think.#,"[':  Would you like to begin [laughter]?', '@:  I know.', 'Well, I, I believe in it.', ':  Uh-huh.', '#Do you feel# --']"
":  Uh, yes, I do think that.","['Well, I, I believe in it.', ':  Uh-huh.', '#Do you feel# --', ':  #I think.#', "":  -- like there should be any kinds of restrictions on when it's.""]"
":  And I do think that, I believe in it wholeheartedly.","['#Do you feel# --', ':  #I think.#', "":  -- like there should be any kinds of restrictions on when it's."", ':  Uh, yes, I do think that.', ':  Oh, I see.']"
"I really think that a lot of crime, we have the criminal, you know, element is just unreal.","[':  #I think.#', "":  -- like there should be any kinds of restrictions on when it's."", ':  Uh, yes, I do think that.', ':  Oh, I see.', ':  And I do think that, I believe in it wholeheartedly.']"
":  -- uh, well, I think that they sho-, tougher laws for the teenagers, yes I do believe that, not --","[':  Uh-huh.', "":  -- and just watching the mentality of our teenagers and, and the tough stuff that's going on now, you know."", ':  Do you feel that it should be applied to them as well, then --', ':  Uh --', ':  -- same kind of laws or,']"
:  You think it's too lenient overall?,"[':  Uh-huh.', ':  -- but not the, uh, capital punishment for them.', ':  Uh-huh.', "":  I really don't feel that, but I do feel tougher laws."", 'But someway, I feel, they have to revise our criminal system.']"
":  I do think that they are sometimes, um, put in a rehabilitation program when there's really a very small chance of rehabilitation, that --","["":  It's, it's, I, I'm not even su-, I feel, uh, in between, I guess."", ""I, I'm not sure --"", ':  Uh-huh.', "":  -- that I have a strong commitment either direction because I don't know enough about what would motivate these people, [laughter] you know."", ':  Right.']"
I think they're [laughter] wonderful.,"[':  Uh.', ':  [Laughter].', ':  [Laughter].', "":  Uh, so, um, I, I'm, and I'm an absolute nut about cats."", ""Um, I didn't, I used to have dogs and cats, um, and, uh, the dogs have died, and those original cats have died, and we've taken these on, and, uh, I, I just love them.""]"
":  Yeah, I think so, and also --","[':  Oh, my goodness.', ""Well, ours didn't do that."", 'Ours were much quieter, but I had, I did have a child at the time --', ':  Yeah.', ':  -- and so it may be that the child was sort of all this other stuff (( )).']"
":  No, I think it's a animal thought, too --","[':  -- having other dogs --', ':  Yes.', ':  -- or having other animals.', "":  We, we, we have found that with, with all of our pets is that we, we've never had just one, because we somehow feel like they need another one."", ""I don't know if that's a human thought, and not an animal thought, [laughter] or what.""]"
"I mean, you'd think that that dog was Elvis, or something --","[':  -- because they do tend to be pack dogs, you know --', ':  Uh-huh.', ':  -- and they --', ':  Uh-huh.', "":  -- because she loves, we have a neighbor down the street that has a dog, and, um, we, there's lots of dogs in our neighborhood, but the one down the street, she just goes crazy over.""]"
":  Yeah, I think it's, a lot of that is because of the fabrics have changed so much.","[':  No, no, I grew up in New Mexico, and spent several years in Ohio going to school.', "":  Well, it seems to me like maybe fifteen years ago, I've always lived in this area, and it seems like about fifteen to twenty years ago, I would see more of a significant difference in the seasons, and, um, I had a tendency to really buy wool clothes for the winter and really make a, a definite change --"", ':  Uh-huh.', "":  -- and it seems like [breathing] the last few years I've had a tendency to, even though I want to continue that, it's just kind of been a pattern, I have, I really don't wear my wool clothes any more."", ""So I've really had to make a concerted effort to buy lighter weight clothing and, and, and now most of my suits will wear all, all year around.""]"
":  So, what do you think about the elderly and their health care?","[':  Okay, you ready for me to push one?', ':  Yeah, sure am.', ':  Okay [beep].', 'Okay.', ':  Okay.']"
":  Well, [breathing], uh, I think there, uh, you know, need to have, uh, some, some means of taking care of them in a, in a reasonable and, uh, uh, I guess, respectful way.","[':  Yeah, sure am.', ':  Okay [beep].', 'Okay.', ':  Okay.', ':  So, what do you think about the elderly and their health care?']"
:  I think that's really sad.,"["":   And, uh, it's, uh, I guess my biggest problem is that, uh, they seem to,"", ':  [Noise].', ':  uh, be, you know, put in nursing homes and just forgotten about.', ':  #Yeah,#', "":  #That's,#""]"
"I think it's sad because, one, it's so expensive --","["":  I think that's really sad."", ':  You know.', 'Have you, uh, ever spent much time or worked around one or anything?', ':  Yeah, I have.', 'Uh, my great grandmother was in one and I used to go visit her a lot.']"
I think that's really sad.,"['Uh, my great grandmother was in one and I used to go visit her a lot.', ""I think it's sad because, one, it's so expensive --"", ':  Oh, yeah.', "":  -- just to put them in there and it's such a traumatic decision anyway."", ""And then it's like no one goes and sees them.""]"
Think more people should do that?,"[':  And, uh, I guess take them for as long as they are.', ':  Yeah.', ':  You know, as long as they live.', ':  Yeah.', 'Should go back to that [laughter].']"
"And just, I just think it's, it's kind of sad even knowing if your, you know, if your parents would even want to go in one or not, you know.","[':  [Snorting].', ':  whether they like to admit it or not.', ':   Yeah.', "":  That's, true, though, I didn't think about that either."", 'People got to think about that.']"
:   Think that's sad.,"[""She's like, well, it's just expensive to have a nurse twenty-four hours a day than it is to put her in a, a place where at least there's other people, you know."", ':   Yeah.', "":   I mean, and she went and saw her every day, like I said, and that's good I think."", ""because I don't think if, you just put them in there and forget about them, I don't think that's right."", ':   Yeah, yeah, really.']"
":  I think the hardest thing for us has been, is to find ac-, you know, leisure time activities that all of our kids can enjoy together --","['So you have some in the nest and some out, #huh.#', "":  #That's right.#"", ':  [Laughter].', ':  How old are your children?', ':  We have, ours start at twelve and then they go down to four.']"
":  I think it's improving, actually.","["":  Yes, and then if you want to play something on the little kids' level, then the older kids get real bored, and they want to do something else."", 'So.', ':  Yeah.', ':  Yeah, I can, I can relate to that.', 'Um, do you feel that the current trend in families spending time together is a positive one or a negative one?']"
:  And I think those kinds of things are happening a lot where we are right now.,"[':  Uh-huh.', "":  -- and she said, no, Sunday's our family day [laughter] --"", ':  Uh-huh [laughter].', ':  -- and we keep our kids at home so we can spend time with them.', "":  That's good.""]"
:  I think it's gone to one extreme where the families were just running all different direction --,"[':  Uh-huh [laughter].', ':  -- and we keep our kids at home so we can spend time with them.', "":  That's good."", ':  And I think those kinds of things are happening a lot where we are right now.', ':  Oh, good.']"
:  -- and I think more people are interested in spending time with their kids now.,"["":  That's good."", ':  And I think those kinds of things are happening a lot where we are right now.', ':  Oh, good.', "":  I think it's gone to one extreme where the families were just running all different direction --"", ':  Uh-huh.']"
":  I think so, and I feel like, you know, like President Bush, Bush has mentioned quite often, that we are trying to become a kinder and gentler nation, and it does begin with the families at home --","[':  And I think those kinds of things are happening a lot where we are right now.', ':  Oh, good.', "":  I think it's gone to one extreme where the families were just running all different direction --"", ':  Uh-huh.', ':  -- and I think more people are interested in spending time with their kids now.']"
":  I think a lot of people are panicked, how kids are turning out and how things are going for kids and realizing they've got to start doing something.","[':  Uh-huh.', ':  -- and I think more people are interested in spending time with their kids now.', ':  I think so, and I feel like, you know, like President Bush, Bush has mentioned quite often, that we are trying to become a kinder and gentler nation, and it does begin with the families at home --', ':  Yeah.', "":  -- and so I, I'm a firm believer in that, too.""]"
":  #Well, as far# as the rap goes, I think there are a few artists that appeal to me --","[':  Yeah.', "":  -- but not, mostly, as a general rule, I don't care for that at all."", ':  Yeah.', ""I don't enjoy rap too much, either."", ""That, that doesn't appeal to, uh, #my ears.#""]"
":  I mean, you know, think about like the Twin Peaks and stuff like that --","[':  Uh-huh.  #Yeah.#', ':  #Um,# oh, I like sound tracks a lot.', ':  Oh, do you?', ':  Yeah, it seems like you get a lot of original music that way.', ':  Yeah, you sure do.']"
:  -- I think it was like five of them or something --,"[':  Uh-huh.', ':  Um, Bonnie Rait, I like her a lot.', ':  Uh-huh.', ':  Um, in fact, whenever she won her big Grammy --', ':  Uh-huh.']"
":  But, uh, [throat_clearing] yeah, I mean, I think it's, we've wanted to do, I've wanted to join a babysitting co-op --","[':  Okay.', ':  [Child_talking]', ""Um, okay, just a second, I'm on the phone."", ""Yeah, I've got three preschoolers."", ':  Oh, my goodness [laughter].']"
":  -- and, um, I don't, I think, I think you start out like with say twenty or thirty, and, and you have to, um, when, when you babysit somebody, they pay you in coupons, and then, um, they, uh, then you pay the other people with coupons.","['Oh.', ':  Oh.', 'Now on that co-op, um, do women just trade babysitting or.', ':  You, you start out with like coupons --', ':  Oh.']"
":  And I think, some of them, is, in like thirty minute time slots --","['Now on that co-op, um, do women just trade babysitting or.', ':  You, you start out with like coupons --', ':  Oh.', "":  -- and, um, I don't, I think, I think you start out like with say twenty or thirty, and, and you have to, um, when, when you babysit somebody, they pay you in coupons, and then, um, they, uh, then you pay the other people with coupons."", ':  Oh.']"
":  Uh, I think that a lot of times the, the members of Congress, uh, when they're faced with, uh, the possibility of having to, to cut jobs in their district by, because of shutting down a federal project or something, just don't have the, the will [laughter] power on their own to, um, to make the tough decisions, and sometimes it would be best to give that over to the President who, who has overall responsibility for the whole country and can, uh, I guess, be a little bit more insulated from, from, uh, #the concerns of one, of one district.#","["":  Uh, well, it's nice to talk with you."", ""Um, I, I guess I'll go ahead and start off with, uh, I think that there's two things that could be done that are procedural to, uh, to help the budget."", 'The first I believe in would be to give the President a line item veto, um.', ':  I agree with that  [laughter].']"
And I think --,"["":  There's another i-, uh, uh, another, uh, way where the budget could, uh, probably benefit, and this has to do, of course, it has to do with federal projects."", ""Too often those are, uh, not, uh, there's no, uh, accountability once the, uh, projects are awarded to make sure that the quality is done."", ""And they end up getting stuck with billions of dollars of overlay, or if contracts are put out, uh, no one, uh, is responsible, or it does not seem to be, for following up that if it goes over budget, it, well, you know, it's set up laissez faire attitude, well that's to be expected."", 'We just sort of built it in.', ""Well that shouldn't happen that way.""]"
":  -- I think if there was more attention paid to, uh, what's being, uh, spent and more accountability, that would help enormous-, enormously, too.","[""And they end up getting stuck with billions of dollars of overlay, or if contracts are put out, uh, no one, uh, is responsible, or it does not seem to be, for following up that if it goes over budget, it, well, you know, it's set up laissez faire attitude, well that's to be expected."", 'We just sort of built it in.', ""Well that shouldn't happen that way."", 'And I think --', ':  I agree.']"
:  Well I think there could be a lot of consolidation of programs.,"["":  How, who, who or how that would come about I'm not, uh, sure, but that's an ar-, an area that needs to be, uh, looked at."", "":  Yeah, it, it really sometimes seems that there is, there's nobody out there, uh, watching out for, uh, for we the people and making sure that the money is spent wisely."", ""Uh, and I don't know."", 'That just sort of seems to be unfortunately part of the, just how the system, uh, operates now.', 'Um, we-, gee is there anything specific that you think, uh, uh, in the way of federal programs or whatever that would be eliminated to try to cut federal spending?']"
":  Uh, I would think that there probably needs to be a monitor, not a monitor, uh, #(( )) you know.#","[':  And just eliminate all that high level bureaucracy.', "":  That's right, because a lot of the monies are spent, uh, with insiding within those departments."", ':  How do you feel about bringing home all of our troops from Europe and the far East and letting Germany and Japan defend themselves?', "":  Uh, basically, I'm in, I'm in agreement with that."", ':  Yeah.']"
"I thought it was great, it's really a lot of fun.","["":  You haven't?"", ':  No.', "":  Well, I'm in college, and I took it as a class --"", ':  Oh.', ':  -- like last semester, and I just loved it.']"
":  Yeah, well, I, I, I think forty degrees is too cold [laughter], so.","[""I'm kind of, I'm really bad about it."", "":  I'm, I'm, I exercise more in the summer and spring than I do, um, like this time of year because --"", "":  Yeah, when the #weather's nicer.#"", "":  -- #it's too cold here [laughter].#"", ':  Is it really?']"
"I thought about doing a diet, but I really don't need to diet.","[""It'll catch up with you."", ':  Yeah, it, it, it has caught up with me in the past year or so.', ""I've put on about twelve pounds so."", ':  Really.', ':  I need to work and get it off.']"
