target,context
"According to Gümüşhane Museum Director Gamze Demir, the broken part of the sarcophagus, which is considered to be 2.5 meters long is believed to be under the ground.","['The town lies at an elevation of .', 'The name ""Kelkit"" comes from the Kelkit River, a major tributary of the Yeşil River, which flows into the Black Sea.', 'People are either farmers or small business owners.', 'Archaeology In November 2017, archaeologists announced the discovery of a 1400 year-old Byzantine sarcophagus in the antique village of Satala (current Sadak).', 'According to researchers, there were Greek inscriptions on the cover saying ""Blessed Kandes sleeps here"".']"
This field house was believed to be the largest indoor pool in the world at the time of its construction.,"['Opened in 1927, it held up to 13,365 people at its height.', 'At one time, it housed all Iowa athletic teams and coaching offices before the construction of additional facilities.', 'The Field House was a regional site for the NCAA basketball tournament four times, in 1954, 1956, 1964 and 1966.', 'The Iowa Wrestling team hosted the 1959 NCAA Division I Wrestling Championships at the Field House.', ""The pool inside the facility was the home of the Iowa Hawkeyes men's and women's swimming team from its construction through the 2009–2010 season.""]"
"For this reason, the Bump is often believed to be the precursor to the erotic and controversial dance grinding.","['The Bump is a form of popular dance introduced in the 1970s in the United States.', 'Two partners, generally one male and one female, bump their hips against each other to the beat of the song.', ""Sometimes the dance can be more suggestive, with the female dancer bumping her hip against the male dancer's crotch.""]"
"They believed in metempsychosis, or the transmigration of souls, and asserted that the spirit of Adam was in Othman ibn Nahik; that the Lord who fed them and gave them drink was Abu Ja'far Abdallah ibn Muhammad Al-Mansur, and that al-Haitham ibn Muawiya was Gabriel.","[""Its origin is unknown, but they held Shi'ite doctrines."", 'Under the year 158 (AD 775) Tabari says that a man of the Rwendis, called al-Ablaq (because he was leprous), asserted that the spirit that was in Jesus was in Ali, then in the imams one after the other to Muhammad ""al-Imām"" and then finally to Ibrahim ""al-Imām"" ibn Muhammad; and that thus these were gods.', 'Asad ibn Abdallah al-Qasri, then governor of Khorasan, put many of them to death.', 'Under the year 135 (AD 752–3) the historian again mentions a rising of the Rwendis of Talaqan, and its suppression.', 'Under 141 (AD 758–9) he gives a fuller account of them.']"
The founders of the newspaper believe that Sweden suffers from similarity of reporting and concentration of ownership in the mainstream media.,['Stockholms Fria Tidning (SFT) is a weekly newspaper started in May 2001.']
It is also believed that it might possibly occur in areas in southern Ussuriland.,"['The leaves are needle-like, 12–22\xa0mm long, rhombic in cross-section, dark bluish-green with conspicuous stomatal lines.', 'The cones are cylindric-conic, 4–8\xa0cm long and 2\xa0cm broad, maturing pale brown 5–7 months after pollination, and have stiff, smoothly rounded scales.', 'Its population is stable though low, and there are no known protocols that protect it.', 'It is found mostly in the northern Korean Peninsula near the Yalu River, and in Siberia near the Ussuri River.', 'In China it is restricted north-eastern provinces Heilongjiang, Jilin, and Liaoning.']"
The bipolar dust shell of this nebula is believed to be barrel-shaped and is being viewed from nearly pole-on.,"['NGC 6781 is a planetary nebula located in the equatorial constellation of Aquila, about 2.5° east-northeast of the 5th magnitude star 19 Aquilae.', 'It was discovered July 30, 1788 by the Anglo-German astronomer William Herschel.', 'The nebula lies at a distance of  from the Sun.', 'It has a visual magnitude of 11.4 and spans an angular size of .']"
"The river is believed by scholars to be the Giang River of old is now called the Jiang River () or the Jiang Water (), and is located in Tunliu County, whence it flows east into the Zhang River.","[""Gaoping (along with several other locations in China) was traditionally identified as Yan's hometown."", ""Not until the late 20th and early 21st century was Gaoping widely accepted as Yan's birthplace by the global scholarly community."", ""The hilly area around Gaoping is known as the Sheep's Head Mountains (), and it is this area that preserves the most concrete evidences of Yan's habitation there."", ""A local temple to a female river spirit has been identified as portraying Yan's daughter Nüwa () - not to be confused with the goddess Nüwa () - since the Ming dynasty."", 'Ancient sources, such as the Guo Yu, record that Yan and his posterity flourished in the area around a river called the ""Giang [Jiang] Water"".']"
"The Vântoase are also believed to be capable of attacking children, and the only protection against them is the mysterious ""grass of the winds"".","['Vântoase are creatures present in Romanian folklore, as a sort of female spirits (iele).', 'Popular beliefs describe them as capable of causing dust storms and powerful winds, similar to harpies.', 'They live in forests, in the air, in deep lakes, and use a special wagon for traveling.']"
"The Vâlve are believed to walk over the hilltops at night, and are subdivided into Vâlve Albe (""White Vâlve""), who are considered beneficial, and Vâlve Negre (""Black Vâlve"" or ""Dark Vâlve""), who are considered evil.",['Vâlvă (plural vâlve) is a female spirit mentioned in the Romanian folklore.']
"In certain contexts, they are believed to have human form (especially when they came to protect villages from a storm).","['Vâlvă (plural vâlve) is a female spirit mentioned in the Romanian folklore.', 'The Vâlve are believed to walk over the hilltops at night, and are subdivided into Vâlve Albe (""White Vâlve""), who are considered beneficial, and Vâlve Negre (""Black Vâlve"" or ""Dark Vâlve""), who are considered evil.']"
"The founder of this art form is believed to be Pooyinkalamma, the First Mother of the Parayas.","['Originally a fertility-dance, this is now staged as a community entertainment.', 'Young women are the exponents of this.', 'They should have long hair and should number a dozen.', 'Songs are sung to the accompaniment of Karu, Maram (in ancient times), Thudi, Udukku, and Maddalom.', 'In tune with the rhythm and the trend of the song the women sway about, in different patterns, swinging their loosened hair.']"
"Rabbi Yehuda Getz, the late official Rabbi of the Western Wall, believed that the Gate represented the point west of the Wall closest to the Holy of Holies.","['In the Second Temple period, the gate led to a tunnel and staircase onto the Temple Mount.', 'After the Rashidun Caliphate conquest of Jerusalem from the Byzantines, Jews were allowed to pray inside the tunnel.', 'The synagogue was destroyed in the First Crusade in the siege of Jerusalem in 1099.', 'The tunnel then became a water cistern, thus its name Cistern 30.', 'The area is surrounded by a vaulted  tunnel.']"
"However, Taylor believed he was much heavier, and this annoyed him greatly; he insisted the scales were faulty.","['Taylor achieved notoriety in Germany for his eccentric appearance, notably his wig, which he fashioned himself from electrical tape.', 'If anyone asked him about his ""hair"", he would answer ""It\'s Jack\'s creation, Jack likes it and it suits him!"".', 'His diet was said to consist of up to 15 tandooris each day.', 'He achieved some notoriety as a result of his size, including appearing on the TV show The Fattest Men in Britain alongside Barry Austin.', 'In one TV show, Being The Fattest Man, he was weighed at 31 stones (or 196\xa0kg).']"
"It is widely believed that it acts as a recognition site for aminoacyl-tRNA synthetase, an enzyme involved in the aminoacylation of the tRNA molecule.","['The D arm is a feature in the tertiary structure of transfer RNA (tRNA).', 'It is composed of the two D stems and the D loop.', 'The D loop contains the base dihydrouridine, for which the arm is named.', ""The D loop's main function is that of recognition.""]"
The D stem is also believed to have a recognition role although this has yet to be verified.,"['The D arm is a feature in the tertiary structure of transfer RNA (tRNA).', 'It is composed of the two D stems and the D loop.', 'The D loop contains the base dihydrouridine, for which the arm is named.', ""The D loop's main function is that of recognition."", 'It is widely believed that it acts as a recognition site for aminoacyl-tRNA synthetase, an enzyme involved in the aminoacylation of the tRNA molecule.']"
It is believed to be one of the many second messengers in the inositol phosphate family.,['Inositol pentakisphosphate (abbreviated IP5) is a molecule derived from inositol tetrakisphosphate by adding a phosphate group with the help of Inositol-polyphosphate multikinase (IPMK).']
It is believed that the custard cream biscuit originated in Britain in 1908.,"['A custard cream is a type of sandwich biscuit popular in the United Kingdom and Republic of Ireland filled with a creamy, custard-flavoured centre.', 'Traditionally, the filling was buttercream (which is still used in most home-made recipes) but nowadays cheaper fats have replaced butter in mass-produced biscuits.', 'The filling tastes of vanilla and as such is more akin to the taste of custard made with custard powder than egg custard.']"
"Professor Eugene Volokh believes that the legitimacy of such tests is a ""tough question"", and argues that they may undermine the fairness of the judiciary:Imagine a justice testifies under oath before the Senate about his views on (say) abortion, and later reaches a contrary decision [after carefully examining the arguments].","['However, this test to determine the political attitude of a nominee is not without error.', 'Supreme Court Chief Justice Earl Warren was appointed under the impression that he was conservative but his tenure was marked by liberal dissents.', 'Today, the litmus test is used along with other methods such as past voting records when selecting political candidates.', 'The Republican Liberty Caucus is opposed to litmus tests for judges, stating in their goals that they ""oppose \'litmus tests\' for judicial nominees who are qualified and recognize that the sole function of the courts is to interpret the Constitution.', 'We oppose judicial amendments or the crafting of new law by any court.""']"
"According to a local legend, strange sounds and bubbling coming from the ground was believed to be the sounds of witches cooking soup deep underground.","['After 1833, when a new source of mineral water was discovered, it developed into a popular resort.', 'Since 1994 it has been the seat and the largest settlement of the Municipality of Radenci.', 'History', 'Radenci was first mentioned in 1436 under the name Radein.', 'In 1833 Karol F. Henn, at the time still a student of medicine, discovered the mineral water there.']"
"The name is believed to derive from the Slavic personal name *Stojьdragъ or *Stojьdražь, referring to an early person associated with the settlement.","['Sodražica (; ) is a town in southern Slovenia.', 'It is the seat of the Municipality of Sodražica.', 'It is part of the traditional region of Lower Carniola and is now included in the Southeast Slovenia Statistical Region.', 'NameSodražica was attested in historical sources as Stoidrasicz in 1220, Stodrositz in 1343, and Stodersicz and Stodrasicz in 1436.']"
"The name is believed to derive from *Drstenik and, like similar names (e.g., Drstelja), is presumably based on the Slovene common noun drsten 'broken stone, rubble, scree'.","['It is the seat of the Municipality of Destrnik.', 'It lies in the Slovene Hills () north of Ptuj.', 'The area is part of the traditional region of Styria.', 'It is now included in the Drava Statistical Region.', 'NameDestrnik was first attested in written sources in 1398 and 1441 as Terstenik, and as Dersternikh in 1495.']"
"Having never heard of a ""word processor"", Shrayer nonetheless believed that he should be able to use his computer, instead of a typewriter, to write documentation for his program, and thus wrote another program – the first word processor for a microcomputer – with which to do so.","['Electric Pencil, released in December 1976 by Michael Shrayer, was the first word processor for home computers.', 'History', 'In 1975, Michael Shrayer had moved to California after 20 years as a New York filmmaker.', 'Enjoying assembling electronic kits, he purchased and assembled a MITS Altair 8800 computer, then modified a public domain assembler program for the Processor Technology Sol-20.', ""Fellow computer hobbyists wanted to buy Shrayer's ESP-1 software, giving him an unexpected and lucrative new business.""]"
"The name Kobilje is believed to be derived from *Kobilje selo (literally, 'Kobilja village'), referring to Kobilje Creek (originally called *Kobilja (voda) based on medieval sources).","['Kobilje  (; ) is a village in the Prekmurje region of Slovenia, on the border with Hungary.', 'Kolilje is both the seat of the Municipality of Kobilje and the only settlement in the municipality.', 'Kobilje Creek, a left tributary of the Ledava River, flows through it.', 'Name']"
"It is believed to be the first Italian cookbook specifically targeted towards housewives, and along with the work of Pellegrino Artusi and Editoriale Domus'","['Il talismano della felicità (; The Talisman of Happiness in English), written by magazine editor Ada Boni, is a well-known Italian cookbook originally published in 1929.']"
"In his time, Edgar was believed to have been the wealthiest man in Illinois.","['Edgar settled at Fort Kaskaskia in 1784.', 'He became a merchant, and built a flour mill.', 'He shipped large quantities of flour from Illinois to New Orleans.', 'Edgar was an Illinois delegate to the Legislature of the Northwest Territory.', 'He also served as Justice of the Peace and Judge in Kaskaskia.']"
Microbats are believed to be the natural reservoir of Duvenhage virus.,"['The virus was discovered in 1970, when a South African farmer (after whom the virus is named) died of a rabies-like encephalitic illness, after being bitten by a bat.', 'In 2006, Duvenhage virus killed a second person, when a man was scratched by a bat in North West Province, South Africa, 80\xa0km from the 1970 infection.', 'He developed a rabies-like illness 27 days after the bat encounter, and died 14 days after the onset of illness.', 'A 34-year-old woman who died in Amsterdam on December 8, 2007, was the third recorded fatality.', 'She had been scratched on the nose by a small bat while travelling through Kenya in October 2007, and was admitted to hospital four weeks later with rabies-like symptoms.']"
It is believed to live only in the extremely restricted range of one valley's oak forests at altitudes between 1500 and 2000 m along a single river in the middle of Papua New Guinea: the Nong River Valley north of Telefomin.,"['The Telefomin cuscus (Phalanger matanim) is a critically endangered possum found on New Guinea.', 'It is named after the Telefol ethnic group, who hunted the animal long before it was identified scientifically by the Australian zoologist Tim Flannery.']"
"Although the ""learners"" were not actually shocked, the subjects believed they were.","['People laugh when they need to project dignity and control during times of stress and anxiety.', 'In these situations, people usually laugh in an unconscious attempt to reduce stress and calm down, however, it often works otherwise.', 'Nervous laughter is often considered fake laughter and even heightens the awkwardness of the situation.', ""People may laugh nervously when exposed to stress due to witnessing others' pain."", 'For instance, in Stanley Milgram\'s obedience experiment, subjects (""teachers"") were told to shock ""learners"" every time the learners answered a question incorrectly.']"
"Early investigators such as C. Darwin (1904) believed that animals grazing the hillsides caused terracettes, but further examination revealed places where they abruptly end at steep rock faces or at soils of different composition.","['Various causes have been suggested to explain their origin including: animal trampling, vegetation and regolith behaviour, soil creep and solifluction including gelifluction.', 'One explanation holds that terracettes are formed when saturated soil particles expand, then contract as they dry, causing them to move slowly downhill.', 'An example of this is the manger near the Uffington White Horse.', 'It may also be described as a small, irregular step-like formation on steep hillslopes, especially on those used for pasture which are formed by soil creep or erosion of surface soils  exacerbated by the trampling of livestock such as sheep or cattle.', 'Synonyms are: catstep cattle terracing, sheep or cattle track.']"
Jonathan believes that it was his fault and begins to fear Richard Rokeby.,"[""Wheatley's cronies leave the school – Stuart's family leaves for the United States and George spends a considerable time in hospital after a brutal injury on the rugby field."", 'This leaves James Wheatley vulnerable.', 'James', 'Wheatley becomes paranoid and becomes too afraid to go to sleep.', 'Driven mad, he ends up running out of the school in his pyjamas and is killed in a hit and run.']"
Dorr believed this led to numerous accidents and that painting a white line along the outside shoulders of the highways would save lives.,"['He worked with Thomas Edison before attending Rutgers University, from which he obtained a B.S. in chemistry in 1894.', 'His major contribution in the field of chemical engineering was the development of the Dorr classifier which became a practical method for the separation and chemical treatment of fine solids suspended in liquid.', 'This technology was used in sewage treatment, water purification, de-silting projects, minerals milling, and sugar production.', 'He founded the Dorr Company in 1916.', 'In the early 1950s, Dorr postulated that at night and when rain, snow or fog impaired vision, drivers hugged the white lines painted in the middle of highways.']"
They were believed to have been supported by the military of Indonesia.,"['Laksaur was one of the pro-Indonesia militias which committed atrocities around the time of the referendum for independence in 1999 in East Timor.', 'They are considered the principal agents in the Suai Church Massacre, which occurred a week after the referendum.']"
"The term CD publishing is believed to have been coined by the Rimage Corporation as part of a marketing program which referred to CD-R discs as ""digital paper.""","['CD publishing is the use of CD duplication systems to create a large number of unique discs.', 'For instance, storing a unique serial number on each copy of a software application disc would be considered CD publishing.']"
It is believed that accumulation of high levels of the free form of this protein (free as in dissociated from the huntingtin and free to bind other key protein(s)) in the cell is one of the mechanisms by which neuron cell death is caused in Huntington's disease (via the caspase-3 route).,"['Huntingtin-interacting protein 1 also known as HIP-1 is a protein that in humans is encoded by the HIP1 gene.', 'Hip-1 is a protein that interacts with the huntingtin protein.', 'It is known to contain a domain homologous to the death effector domains (DED) found on proteins involved in apoptosis.']"
It is believed to be a branch of Bektashi (Bektaşiyye) tariqat.,['Baba Samit was a Shia Sufi tariqa that gained widespread following in medieval Azerbaijan and Turkey.']
"Because the manuscript bears the name Godridus de Malmesburg, it was originally believed that it was written by Godfrey of Malmesburg, a native of Jumièges, who became Abbot of Malmesbury in 1081.","['A Monk of Malmesbury is the supposed author of a chronicle among the Cottonian manuscripts in the British Museum.', 'The authorship is uncertain, and the work in question is said by some to be only a copy of a chronicle written by Alfred of Beverley in the twelfth century, while others claim it is almost entirely based on that of Geoffrey of Monmouth.', 'It is a very valuable compilation, describing English history from the invasion of the Saxons to the year 1129.']"
"Dante believes that De Born is in the ninth Bolgia of schismatics for causing Henry the Young King's rebellion against his father, Henry II of England.","['A similar process occurs in the Purgatorio.', 'One of the examples of contrapasso occurs in the fourth Bolgia of the eighth circle of Hell, where the sorcerers, astrologers, and false prophets have their heads turned back on their bodies such that it is ""necessary to walk backward because they could not see ahead of them.""', 'This alludes to the consequences of predicting the future by evil means and displays the twisted nature of magic in general.', 'This example of contrapasso ""functions not merely as a form of divine revenge, but rather as the fulfillment of a destiny freely chosen by each soul during his or her life.""', 'The word contrapasso can be found in Inferno, in which the decapitated Bertran de Born declares:  (XXVIII.142), which was translated by Longfellow as ""thus is observed in me the counterpoise"", and by  Singleton as ""thus is the retribution observed in me.""']"
The mountain is believed to be the second home of the divine goddess Durga.,"['Trikuta is a three-peaked mountain near Jammu city in Jammu and Kashmir, India which is considered significant and holy in Hinduism.', 'Significance to history and HinduismTrikuta is one of the twenty mountains surrounding Maha Meru (Mount Meru) the home of Brahma.', 'The height is said in the Bhagavata Purana to be 10,000 yojanas, and the three peaks are iron, silver and gold.']"
"We believe these proposals would do more to prevent abortions than all the speeches, all the marches and all the campaign ads the pro-lifers have used over the past 30 years.""","['It is, according to Democrats for Life, ""a comprehensive package of federal legislation and policy proposals that will reduce the number of abortions...', 'While both Democrats and Republicans talk about reducing the number of abortions, Democrats for Life of America offers real solutions to make this goal a reality.', 'With bold new ideas, sound research and policy arguments, the Pregnant Women Support Act contains proven policy suggestions to dramatically reduce the number of abortions in America.""', 'In their 2005 book, Take It Back: Our Party, Our Country, Our Future, Paul Begala and James Carville praise Democrats for Life their work.', 'In the book they say the Act ""is built around seventeen concrete policy proposals that would reduce the number of abortions....']"
"It was believed that before the construction of the Cloaca Maxima, which probably follows the course of an ancient stream called Spinon, the area was a swamp, though this claim has been disproven by core samples taken from Velabrum in 1994.","['The Velabrum () is the low valley in the city of Rome that connects the Forum with the Forum Boarium, and the Capitoline Hill with the western slope of the Palatine Hill.', 'The outer boundaries of the area are not themselves clear.', 'Roman etymologies of the name are confused, with attempts to connect it to the Latin words  (conveyance) and  (cloth): Varro, Propertius, and Tibullus claimed that it was the location of a ferry; Plutarch, however, claimed the name derived from the awnings placed over the Circus Maximus during games.', 'The name may also translate to ""place of mud"".']"
"In older scholarship, Amanitore was believed to have been Natakamani's wife, with Shorkaror as their son.","['Shorkaror is attested as king in two inscriptions in Amara and in a large rock carving at Gebel Qeili.', 'His identification as a king has sometimes been doubted, though the rock carving depicts him with royal regalia and attire.', 'The carving is near to the trade route to Kassala and is the easternmost inscription of the Meroitic kings found so far.', 'Shorkaror is attested as a crown prince in the co-reign of Amanitore and Natakamani, meaning that he was likely their successor.', 'He was preceded as crown prince by Arikhankharer and Arikakahtani, possibly his brothers.']"
George Andrew Reisner believed that Shorkaror was buried in pyramid Beg. N 10 in Meroë.,"['The carving is near to the trade route to Kassala and is the easternmost inscription of the Meroitic kings found so far.', 'Shorkaror is attested as a crown prince in the co-reign of Amanitore and Natakamani, meaning that he was likely their successor.', 'He was preceded as crown prince by Arikhankharer and Arikakahtani, possibly his brothers.', ""In older scholarship, Amanitore was believed to have been Natakamani's wife, with Shorkaror as their son."", ""Amanitore is now known to have been Natakamani's mother, which leaves Shorkaror's specific relation to his predecessors unclear.""]"
The drow believes that the message implies that his father is alive and held by Lolth.,"['Deudermont looks for the island to find out who sent the creature.', 'The Sea Sprite crew goes to Mintarn in search of information about the mysterious Caerwich.', 'They are attacked by pirates, but they manage to escape also because of the magical arrival of Harkle Harpell, who joins the crew.', 'After a long and perilous journey, the Sea Sprite reaches Caerwich.', 'There more dangers await the companions, but they eventually find an old hag who gives a riddle message to Drizzt and Catti-brie.']"
Scholars believe the building also served other civic purposes due to its central location.,"['The Stoa of Zeus at Athens, was a two-aisled stoa located in the northwest corner of the Ancient Agora of Athens.', 'It was built c. 425 BC–410 BC for religious purposes in dedication to Zeus by the Eleutherios (""pertaining to freedom""): a cult founded after the Persian War.', 'Stoas were not commonly used for religious purposes, but were typically built for promenades and meetings.', 'It is different from others in that it was a stoa rather than a temple (the common building used for religious purposes).']"
Some paleontologists of the late 19th and early 20th century believed Belodon was synonymous with Phytosaurus or Machaeroprosopus.,"['Belodon (meaning ""arrow tooth"") is a genus of phytosaur, a crocodile-like reptile that lived during the Triassic.', 'Its fossils have been found in Europe and elsewhere.', 'The type species, Belodon plieningeri, was named by prolific German paleontologist Christian Erich Hermann von Meyer in 1844.', 'Many other species were also named, among them Belodon buceros (named by Edward Drinker Cope in 1881), Belodon kapfii (von Meyer, 1861), Belodon lepturus (Cope, 1870), Belodon priscus (originally described as Compsosaurus priscus by Joseph Leidy in 1856), Belodon scolopax (Cope, 1881), and Belodon validus (Othniel Charles Marsh, 1893).']"
"Primarily, it was believed that these shows of divine power were displayed specifically by Jupiter, Roman god of the sky and thunder as well as king of the gods.","['Finally, an altar was built, and surrounded by a wall or fence to keep any trespassers away.', 'Occasionally when falling into a state of decay, Bidentals would be repaired or reconstructed.', 'Significance Considered sacred space, a Bidental was not to be touched, trod upon, or even looked at after completion.', 'Places being struck by lightning were regarded as a terrifying example of divine wrath, and not to be taken lightly.', 'Had a person committed sacrilege, they were punished severely with frenzy.']"
