believe_sentence,think_sentence,QUD_weak_believe,QUD_weak_think,QUD_strong,factP,modal,person,np,item
Daniel can believe people can see through walls.,Daniel can think people can see through walls.,Does Daniel believe people can see through walls?,Does Daniel think people can see through walls?,Does Daniel know people can see through walls?,0,modal,3,Daniel,3
Ava can believe birds migrate to warmer places during winter.,Ava can think birds migrate to warmer places during winter.,Does Ava believe birds migrate to warmer places during winter?,Does Ava think birds migrate to warmer places during winter?,Does Ava know birds migrate to warmer places during winter?,1,modal,3,Ava,0
Emily might believe a triangle has 3 sides.,Emily might think a triangle has 3 sides.,Does Emily believe a triangle has 3 sides?,Does Emily think a triangle has 3 sides?,Does Emily know a triangle has 3 sides?,1,modal,3,Emily,1
Lily can believe the human heart is meant for pumping blood through the body.,Lily can think the human heart is meant for pumping blood through the body.,Does Lily believe the human heart is meant for pumping blood through the body?,Does Lily think the human heart is meant for pumping blood through the body?,Does Lily know the human heart is meant for pumping blood through the body?,1,modal,3,Lily,2
Lucas might believe rain falls from the clouds in the sky.,Lucas might think rain falls from the clouds in the sky.,Does Lucas believe rain falls from the clouds in the sky?,Does Lucas think rain falls from the clouds in the sky?,Does Lucas know rain falls from the clouds in the sky?,1,modal,3,Lucas,3
Jacob believes fire is cold.,Jacob thinks fire is cold.,Does Jacob believe fire is cold?,Does Jacob think fire is cold?,Does Jacob know fire is cold?,0,,3,Jacob,0
Harper believes books grow on trees.,Harper thinks books grow on trees.,Does Harper believe books grow on trees?,Does Harper think books grow on trees?,Does Harper know books grow on trees?,0,,3,Harper,1
Sophia believes humans can photosynthesize like plants.,Sophia thinks humans can photosynthesize like plants.,Does Sophia believe humans can photosynthesize like plants?,Does Sophia think humans can photosynthesize like plants?,Does Sophia know humans can photosynthesize like plants?,0,,3,Sophia,2
Jack believes the ocean is made of lemonade.,Jack thinks the ocean is made of lemonade.,Does Jack believe the ocean is made of lemonade?,Does Jack think the ocean is made of lemonade?,Does Jack know the ocean is made of lemonade?,0,,3,Jack,3
Amelia believes the internet allows people to communicate across the world.,Amelia thinks the internet allows people to communicate across the world.,Does Amelia believe the internet allows people to communicate across the world?,Does Amelia think the internet allows people to communicate across the world?,Does Amelia know the internet allows people to communicate across the world?,1,,3,Amelia,0
Ella believes there are 100 centimeters in a meter.,Ella thinks there are 100 centimeters in a meter.,Does Ella believe there are 100 centimeters in a meter?,Does Ella think there are 100 centimeters in a meter?,Does Ella know there are 100 centimeters in a meter?,1,,3,Ella,1
Logan believes the moon is in the sky.,Logan thinks the moon is in the sky.,Does Logan believe the moon is in the sky?,Does Logan think the moon is in the sky?,Does Logan know the moon is in the sky?,1,,3,Logan,2
Benjamin believes people drink water when they are thirsty.,Benjamin thinks people drink water when they are thirsty.,Does Benjamin believe people drink water when they are thirsty?,Does Benjamin think people drink water when they are thirsty?,Does Benjamin know people drink water when they are thirsty?,1,,3,Benjamin,3
