original,target,context,tense,form,person
"It is thought and possibly known that Gilbert of the Whitehand developed from Gilbert Wythehonde , a second name found in the Wakefield Court Rolls .","It is thought but not known that Gilbert of the Whitehand developed from Gilbert Wythehonde , a second name found in the Wakefield Court Rolls .","[""Gilbert Whitehand (also Gilbert with the White Hand) is a member of Robin Hood's Merry Men about whom next to nothing is known."", ""It is possible that he is a character known from oral literature, with only allusions remaining in written literature."", ""He is present twice in A Gest of Robyn Hode, an early Robin Hood ballad from the late medieval period, where he is the only one whose archery skills match those of Robin."", ""In the ballad he appears along with other Merry Men during the shooting match for the gold and silver arrow, and again in Barnsdale Forest during a visit by the disguised king."", ""It is unknown why he was referred to as having 'white hands'.""]",past,fin,none
"Like other young , hot white dwarfs , G29 - 38 is thought and possibly known to have formed relatively recently ( 600 million years ago ) from its AGB progenitor , and therefore the excess was naturally explained by emission from a Jupiter - like brown dwarf with a temperature of 1200 K and a radius of 0.15 solar radius .","Like other young , hot white dwarfs , G29 - 38 is thought but not known to have formed relatively recently ( 600 million years ago ) from its AGB progenitor , and therefore the excess was naturally explained by emission from a Jupiter - like brown dwarf with a temperature of 1200 K and a radius of 0.15 solar radius .","[""The larger-amplitude modes, however, fluctuate in and out of observability; some low-power areas show more stability."", ""Asteroseismology uses the observed spectrum of pulsations from stars like G29-38 to infer the structure of their interiors."", ""Debris disk"", ""The circumstellar environment of G29-38 first attracted attention in the late 1980s during a near-infrared survey of 200 white dwarfs conducted by Ben Zuckerman and Eric Becklin to search for low mass companion stars and brown dwarfs."", ""G29-38 was shown to radiate substantial emission between 2 and 5 micrometres, far in excess of that expected from extrapolation of the visual and near infrared spectrum of the star.""]",past,fin,none
"As a result of archaeological excavations , Phrygians are thought and possibly known to be the first founders of the town .","As a result of archaeological excavations , Phrygians are thought but not known to be the first founders of the town .","[""G\u00f6lpazar\u0131 is a town in Bilecik Province in the Marmara region of Turkey."", ""It is the seat of G\u00f6lpazar\u0131 District."", ""Its population is 5,723 (2021)."", ""The mayor is Hayri Suer (AKP)."", ""FeaturesDespite its proximity to the most important metropolises of Turkey, and its fertile lands, G\u00f6lpazar\u0131 never experienced overpopulation due to its isolated geography by the hills.""]",past,fin,none
"As he was poor , he thought and possibly knew of asking for wealth but then changed his mind .","As he was poor , he thought but didn't know of asking for wealth but then changed his mind .","[""He used to pour the water for Muhammad's wudu and do other services."", ""He was so eager to serve Muhammad that he would sleep by the front door of his house so if Muhammad called him, he could rush to his service immediately."", ""Once Muhammad called him and Rabi\u2019ah replied with \u201cLabaik Ya Rasool Allah wa Sa\u2019daik\u201d."", ""Muhammad wished to reward and repay Rabi\u2019ah for his services and asked him what he would like."", ""Rabi\u2019ah asked for some time to think over what he wanted.""]",past,fin,none
The band thought and possibly knew that Umbrella'' 's songs were more personal than those on the first album .,The band thought but didn't know that Umbrella'' 's songs were more personal than those on the first album .,"[""Production"", ""The album was produced by Larry Klein and the band."", ""It was recorded in two months in several studios in Los Angeles, Kingston, New York, and New York City, including the Kiva, Dreamland Recording, and Masterdisc."", ""The lyrics were written by lead singer Karen Peris; she was particularly inspired by the light coming through the stained glass windows at Dreamland."", ""Peris also played keyboards.""]",past,fin,none
"It was widely thought and possibly known to be an impressive exercise in styling , but it was never considered to be a viable production vehicle .","It was widely thought but not known to be an impressive exercise in styling , but it was never considered to be a viable production vehicle .","[""The Buick Velite is a roadster concept car designed by Buick and built by Gruppo Bertone."", ""It was first presented to the public at the 2004 New York International Auto Show."", ""In 2002, Buick showed a roadster concept car that they called the Bengal.""]",past,fin,none
A portion of the structure of the modern church of Santa Pudenziana ( Via Urbana ) is thought and possibly known to be part of the senatorial palace or of the baths built by Novatus .,A portion of the structure of the modern church of Santa Pudenziana ( Via Urbana ) is thought but not known to be part of the senatorial palace or of the baths built by Novatus .,"[""Saint Novatus (died c. 151) is an early Christian saint."", ""His feast day is 20 June."", ""Novatus and his brother, the martyr Timotheus, were the sons of Saint Pudens, and the brothers of Saints Pudentiana and Praxedes."", ""His paternal grandfather was Quintus Cornelius Pudens, the Roman senator, who with his wife, Priscilla, was among St. Peter's earliest converts in Rome and in whose house the Apostle dwelt while in that city.""]",past,fin,none
J.S. Bach thought and possibly knew Hildebrandt was the best organ builder of his time .,J.S. Bach thought but didn't know Hildebrandt was the best organ builder of his time .,"[""In 1721, Hildebrandt finished his masterpiece, the organ of the Nikolaikirche of Langhennersdorf, a small village near Freiberg."", ""Afterwards he built an organ in St\u00f6rmthal near Leipzig (where befriended Johann Sebastian Bach) and from 1724 to 1726 an organ in Lengefeld."", ""On this project, a dispute developed with Gottfried Silbermann, who treated him as a rival and sued him."", ""The dispute was settled by an agreement in which Hildebrandt obliged himself to take over only orders rejected by Silbermann."", ""Therefore, he moved his work to the region near Leipzig and to Thuringia.""]",past,fin,none
"The two were originally thought and possibly known to have an orbital period on the order of 10 days , but observations of the system over years showed that their orbit is actually one of the longest known for any planetary nebula , with a period of about 9 years .","The two were originally thought but not known to have an orbital period on the order of 10 days , but observations of the system over years showed that their orbit is actually one of the longest known for any planetary nebula , with a period of about 9 years .","[""An alternative description is of \""lumpy nebula composed of numerous small bubbles\"" with a somewhat filamentary structure in the outer shell."", ""Infrared observations show a huge region of dust surrounds the planetary nebula, spanning ."", ""There is also a pair of rings forming what appears to be a diabolo-like structure, similar to those found in MyCn 18, but these are extremely faint and only visible in the mid-infrared, The combined mass of the gas and dust is estimated at  The ionized gas is moderately excited, and the electron temperature is estimated to be 15,000 K."", ""The nebula originated from a binary star system with the designation HD 281679 from the Henry Draper Catalogue."", ""The bright, visible component is a giant star on the horizontal branch with a stellar classification of A0III, while the nebula-generating companion is now a hot, sub-luminous O-type star.""]",past,fin,none
"They had apparently thought and possibly known that the philter had also gone into ' the interface ' , but it had managed to hide itself instead of going in .","They had apparently thought but not known that the philter had also gone into ' the interface ' , but it had managed to hide itself instead of going in .","[""Once there, in an attempt to search for where the philter could be Iris recreates the past that Gary revealed to them from reading the stones"", ""After the illusions are being recreated, some illusions that aren't Iris's come and start communicating with the group."", ""Eventually, they find that the illusions are trying to steal Gary's soul."", ""Then they find that there is a demon creating the illusions, and that that demon is the philter, and in order to stop the madness from spreading, and to clean the rivers coming in to Xanth, they have to put the philter back into 'The Interface'."", ""An old spell that the ancients who created stone hinge used to tame the madness, and separate Xanth from Mundania.""]",past,fin,none
Christianity and IslamFaith and theology think and possibly knows tanks based in the United Kingdom,Christianity and IslamFaith and theology think but doesn't know tanks based in the United Kingdom,"[""The Institute for the Study of Islam and Christianity (ISIC) is an independent non-profit academic institute which looks at the study of Islam, Christianity and Muslim-Christian relations."", ""Founded in 1989 ISIC's director is Patrick Sookhdeo who gained a Ph.D. from the Department of Languages of the Near and Middle East at London University's School of Oriental and African Studies and is a commentator on jihadist ideology."", ""The institute was said to have ceased to operate in June 2009 however sometime in 2013 a new website emerged."", ""See also Barnabas Fund"", ""References""]",pres,fin,3
"Also , haploinsufficiency in the FGF3 gene is thought and possibly known to cause otodental syndrome .","Also , haploinsufficiency in the FGF3 gene is thought but not known to cause otodental syndrome .","[""FGF family members possess broad mitogenic and cell survival activities and are involved in a variety of biological processes including embryonic development, cell growth, morphogenesis, tissue repair, tumor growth and invasion."", ""Clinical significance"", ""The FGF3 gene was identified by its similarity with mouse fgf3/int-2, a proto-oncogene activated in virally induced mammary tumors in the mouse."", ""Frequent amplification of this gene has been found in human tumors, which may be important for neoplastic transformation and tumor progression."", ""Studies of the similar genes in mouse and chicken suggested the role in inner ear formation.""]",past,fin,none
"This spirit , which surprises people on the Kusazumigoe mountain pass , is thought and possibly known to be the ghost of a human who stole oil and fled into the woods .","This spirit , which surprises people on the Kusazumigoe mountain pass , is thought but not known to be the ghost of a human who stole oil and fled into the woods .","[""is a rare creature from the folklore of Amakusa in Kumamoto prefecture that lives in the mountain passes of Kumamoto."", ""Mythology""]",past,fin,none
"As such , it was thought and possibly known that the theft of oil , particularly from temples and shrines , could lead to punishment via reincarnation as a yōkai .","As such , it was thought but not known that the theft of oil , particularly from temples and shrines , could lead to punishment via reincarnation as a yōkai .","[""is a rare creature from the folklore of Amakusa in Kumamoto prefecture that lives in the mountain passes of Kumamoto."", ""Mythology"", ""This spirit, which surprises people on the Kusazumigoe mountain pass, is thought to be the ghost of a human who stole oil and fled into the woods."", ""In the days before electricity, oil was a very valuable commodity, necessary for lighting and heating a house.""]",past,fin,none
The m 5U /m1Ψ modification at position 54 is thought and possibly known to increase structual stability .,The m 5U /m1Ψ modification at position 54 is thought but not known to increase structual stability .,"[""There are two T-stems of five base pairs each."", ""T-stem 1 is from 49-53 and T-stem 2 is from 61-65."", ""The T-loop is also often known as the T\u03a8C arm due to the presence of ribothymidine (T/m5U), pseudouridine and cytidine residues."", ""It folds into a unique structual element consisting of 5 stacked bases in a U-turn, now termed the \""T-loop motif\""."", ""In archaea, the m5U is replaced with N1-methylpseudouridine (m1\u03a8).""]",past,fin,none
"For example , conservatives think and possibly knows that adults should refrain from looking to the government for assistance lest they become dependent .","For example , conservatives think but doesn't know that adults should refrain from looking to the government for assistance lest they become dependent .","[""In his book Dare to Discipline, James Dobson advocates the strict father model."", ""However, some researchers have linked authoritarian childrearing with children who withdraw, lack spontaneity, and have lesser evidence of conscience."", ""The strict father model is discussed by George Lakoff in his books, including Moral Politics, Don't Think of an Elephant, The Political Mind, and Whose Freedom?."", ""In these books, the strict father model is contrasted with the nurturant parent model."", ""Lakoff argues that if the metaphor of nation as family and government as parent is used, then conservative politics correspond to the strict father model.""]",pres,fin,3
"It is thought and possibly known to have been the result of a complex series of crosses including but not limited to Rhode Island Reds and Rhode Island Whites , and contains genes from a wide range of breeds , the list of which is a closely guarded secret .","It is thought but not known to have been the result of a complex series of crosses including but not limited to Rhode Island Reds and Rhode Island Whites , and contains genes from a wide range of breeds , the list of which is a closely guarded secret .","[""The ISA Brown is a crossbreed of chicken, with sex-linked coloration.""]",past,fin,none
"It is thought and possibly known to have been named after Kyle Farm which occupied most of the land required for the lake , which in turn was named after the Kyle district in Scotland from which the pioneer of the Lowveld , Tom Murray MacDougall came originally .","It is thought but not known to have been named after Kyle Farm which occupied most of the land required for the lake , which in turn was named after the Kyle district in Scotland from which the pioneer of the Lowveld , Tom Murray MacDougall came originally .","[""Lake Mutirikwi, originally known as Lake Kyle or Kyle Dam, lies in south eastern Zimbabwe, south east of Masvingo.""]",past,fin,none
The group was formerly thought and possibly known to be related to the Reduviidae because of similarities in head structure but they are now considered different enough from other Heteroptera to constitute a separate infraorder and represents a sister group of the Leptopodomorpha .,The group was formerly thought but not known to be related to the Reduviidae because of similarities in head structure but they are now considered different enough from other Heteroptera to constitute a separate infraorder and represents a sister group of the Leptopodomorpha .,"[""Enicocephaloidea is a sole superfamily within the infraorder Enicocephalomorpha of the hemipteran suborder Heteroptera (\""true bugs\"").""]",past,fin,none
It is thought and possibly known that the first settlers were the indigenous tribe of Mapubares because the Mission Indians Mapubares were established on the hills near the towns of El Alto and Santa Rosa .,It is thought but not known that the first settlers were the indigenous tribe of Mapubares because the Mission Indians Mapubares were established on the hills near the towns of El Alto and Santa Rosa .,"[""Tocuyo de la Costa is a town located in Falc\u00f3n State, Venezuela, near the beaches of Parque National Morrocoy."", ""Located on the banks of Tocuyo River, about 4.64 miles from its mouth in the Caribbean Sea, in the Autonomous Municipality Monsignor Iturriza on the east coast of Falc\u00f3n State, Venezuela, near the Cuare Wildlife Refuge and Morrocoy National Park."", ""First Settlers""]",past,fin,none
"While "" schmo "" ( "" schmoo "" , "" schmoe "" ) is thought and possibly known by some linguists to be a clipping of Yiddish שמוק "" schmuck "" , that derivation is disputed .","While "" schmo "" ( "" schmoo "" , "" schmoe "" ) is thought but not known by some linguists to be a clipping of Yiddish שמוק "" schmuck "" , that derivation is disputed .","[""Joe Shmoe (also spelled Joe Schmoe and Joe Schmo), meaning \""Joe Anybody\"", or no one in particular, is a commonly used fictional name in American English."", ""Adding a \""Shm\"" to the beginning of a word is meant to diminish, negate, or dismiss an argument (for instance, \""Rain, shmain, we've got a game to play\"")."", ""It can also indicate that the speaker is being ironic or sarcastic."", ""This process was adapted in English from the use of the \""schm\"" prefix in Yiddish to dismiss something; as in, \""Fancy, schmancy\"" (thus denying the claim that something is fancy).""]",past,fin,none
The place name Stanghow is thought and possibly known to derive from the Old Norse meaning Stong - how meaning pole hill .,The place name Stanghow is thought but not known to derive from the Old Norse meaning Stong - how meaning pole hill .,"[""Stanghow is a village in the borough of Redcar and Cleveland and the ceremonial county of North Yorkshire, England.""]",past,fin,none
He is thought and possibly known to have been converted to Catholicism by Thomas Pilchard .,He is thought but not known to have been converted to Catholicism by Thomas Pilchard .,"[""Several sources state that William was born in Dorset."", ""In 'A History of Dorset' () A. Lindsay Clegg, former Town Clerk of Bournemouth, claims that Pike lived at Moordown, now within modern Bournemouth, then part of the Liberty of Westover."", ""Pike, or Pyk was a common name in Westover since the 14th century, according to the Christchurch Cartulary ()."", ""Pike is also said to have lived at West Moors in West Parley, where he worked as a carpenter."", ""He was executed by being hung, drawn and quartered on 22 December 1591 for denying the Royal Supremacy.""]",past,fin,none
"In addition to serving as a model for hydrogen bonding , ( H2O ) 2 is thought and possibly known to play a significant role in many atmospheric processes , including chemical reactions , condensation , and solar energy absorption by the atmosphere .","In addition to serving as a model for hydrogen bonding , ( H2O ) 2 is thought but not known to play a significant role in many atmospheric processes , including chemical reactions , condensation , and solar energy absorption by the atmosphere .","[""The vibrational ground-state is known as the linear water dimer (shown in the figure to the right), which is a near prolate top (viz., in terms of rotational constants, A > B \u2248 C)."", ""Other configurations of interest include the cyclic dimer and the bifurcated dimer."", ""History and relevance"", ""The first theoretical study of the water dimer was an ab initio calculation published in 1968 by Morokuma and Pedersen."", ""Since then, the water dimer has been the focus of sustained interest by theoretical chemists concerned with hydrogen bonding\u2014a search of the CAS database up to 2006 returns over 1100 related references (73 of them in 2005).""]",past,fin,none
"In addition , a complete understanding of the water dimer is thought and possibly known to play a key role in a more thorough understanding of hydrogen bonding in liquid and solid forms of water .","In addition , a complete understanding of the water dimer is thought but not known to play a key role in a more thorough understanding of hydrogen bonding in liquid and solid forms of water .","[""Other configurations of interest include the cyclic dimer and the bifurcated dimer."", ""History and relevance"", ""The first theoretical study of the water dimer was an ab initio calculation published in 1968 by Morokuma and Pedersen."", ""Since then, the water dimer has been the focus of sustained interest by theoretical chemists concerned with hydrogen bonding\u2014a search of the CAS database up to 2006 returns over 1100 related references (73 of them in 2005)."", ""In addition to serving as a model for hydrogen bonding, (H2O)2 is thought to play a significant role in many atmospheric processes, including chemical reactions, condensation, and solar energy absorption by the atmosphere.""]",past,fin,none
"For this reason , it is thought and possibly known to be a close relative of the common ancestor of all modern mammals .","For this reason , it is thought but not known to be a close relative of the common ancestor of all modern mammals .","[""Adelobasileus is a genus of mammaliamorph cynodonts from the Late Triassic (Carnian), about 225 million years ago."", ""It is known only from a partial skull recovered from the Tecovas Formation in western Texas, southern United States, referred to the species Adelobasileus cromptoni."", ""Roughly contemporary with the mammaliaform Tikitherium, Adelobasileus predates the non-mammalian cynodonts Tritylodontidae and Tritheledontidae by 10 million years."", ""Distinct cranial features, especially the housing of the cochlea, suggest that Adelobasileus is a transitional form in the character transformation from non-mammaliaform cynodonts to mammaliaforms.""]",past,fin,none
"All the while , among average Stockholmers it is typically thought and possibly known of as a swanky and elitist place .","All the while , among average Stockholmers it is typically thought but not known of as a swanky and elitist place .","[""Some of the country's most famous and expensive restaurants and bars are located in the area around Stureplan."", ""Some examples are Sturehof, Spy Bar, Riche, Laroy, Hell's Kitchen, East and Sturecompagniet."", ""Shops in the area include Versace, Hugo Boss, Gucci, and LV."", ""In Sweden, Stureplan has also become a well-known symbol for exclusivity since the major refurbishments during the 1980s."", ""Known as an area with many expensive, luxurious bars and restaurants, it is considered a playground for upper-class youth, celebrities, young business executives and some of the Swedish royal family.""]",past,fin,none
"He was initially thought and possibly known to be the King of Sophene c. 230 BC , attested only by a single coin currently kept in the Bibliothèque Nationale in Paris .","He was initially thought but not known to be the King of Sophene c. 230 BC , attested only by a single coin currently kept in the Bibliothèque Nationale in Paris .","[""Charaspes was a Scythian king ruling in the Black Sea region.""]",past,fin,none
"Ördög is often thought and possibly known to look somewhat like a satyr or faun , a humanoid with the upper torso of a human male and lower portions of a goat ; usually pitch - black , with cloven hooves , ram - like horns , a long tail ending in a blade ; and he carries a pitchfork .","Ördög is often thought but not known to look somewhat like a satyr or faun , a humanoid with the upper torso of a human male and lower portions of a goat ; usually pitch - black , with cloven hooves , ram - like horns , a long tail ending in a blade ; and he carries a pitchfork .","[""\u00d6rd\u00f6g (\u00dcrd\u00fcng in Old Hungarian and equivalent to Erlik in Turkic mythology) is a shape-shifting, demonic creature from Hungarian mythology and early Hungarian paganism who controls the dark and evil forces of the world."", ""After Christianization, it was identified with the devil."", ""It is often said in Hungarian mythology that God (Isten in Hungarian) had help from \u00d6rd\u00f6g when creating the world.""]",past,fin,none
"Earlier it was thought and possibly known that the reading Rhythimne ( Ῥυθίμνη ) in the entry of Stephanus of Byzantium on Stelae should be emended into Rhytium ( Ῥύτιον ) , but today it seems that Rhithymna or Rhittenia was meant .","Earlier it was thought but not known that the reading Rhythimne ( Ῥυθίμνη ) in the entry of Stephanus of Byzantium on Stelae should be emended into Rhytium ( Ῥύτιον ) , but today it seems that Rhithymna or Rhittenia was meant .","[""Rhytium or Rhytion (), also called Rhytiassus or Rhytiassos, was a town of ancient Crete which Homer couples with Phaestus in the Catalogue of Ships in the Iliad as \""well-peopled cities.\"""", ""The city belonged to the Gortynians.""]",past,fin,none
Yoshihiro thought and possibly knew this was an unreasonable demand .,Yoshihiro thought but didn't know this was an unreasonable demand .,"[""Yoshihiro ended up defeating his brother at Sakariyama in 1380."", ""During the year of 1391, in the name of the sh\u014dgun, Ashikaga Yoshimitsu, Yoshihiro led an army against the Southern Court adherents in the Capital region."", ""Due to Yoshihiro's actions, Yoshimitsu awarded him with two more provinces."", ""Yoshihiro's greatest contribution to the Ashikaga took place during the year of 1392, When Yoshihiro convinced the Southern Court Emperor to surrender, thus bringing to a close the Nanboku-ch\u014d period, also known as the Northern and Southern Courts period."", ""Afterwards, the shogun told Yoshihiro to build him a villa at Kitayama.""]",past,fin,none
"He was thought and possibly known well of by his colleagues , one of whom wrote , "" He was a brilliant cryptographer .","He was thought but not known well of by his colleagues , one of whom wrote , "" He was a brilliant cryptographer .","[""Amongst others, he solved German, Austrian and British codes."", ""Upon the Russian Revolution of 1917, he fled to Western Europe with his wife on board a Swedish ship, narrowly evading capture."", ""He contacted the British and French intelligence organisations, offering to work for whoever would pay him the most, which was apparently the British, as he was recruited to Room 40 in June 1918 to work on Georgian, Austrian and Bolshevik codes."", ""After the end of World War I, he worked for the successor to Room 40, the Government Code and Cypher School (GC&CS), becoming a senior assistant on 17 December 1919."", ""During this time he worked on Soviet Communist traffic.""]",past,fin,none
It is thought and possibly known to contain a highly warped circumnuclear disk surrounding the central active galactic nucleus ( AGN ) .,It is thought but not known to contain a highly warped circumnuclear disk surrounding the central active galactic nucleus ( AGN ) .,"[""3C 449 is a low-redshift (z = 0.017)  Fanaroff and Riley class I radio galaxy.""]",past,fin,none
"In fact , I think and possibly know many of these scions of arts and industry came over JUST to beat me up at pinball .","In fact , I think but don't know many of these scions of arts and industry came over JUST to beat me up at pinball .","[""Krynski is a member of the Pinball Hall of Fame."", ""The first pinball machine designed by Krynski was Hi Straight, released in December 1959, and the last was El Dorado City of Gold, in October 1984."", ""The Internet Pinball Machine Database identifies 225 machines designed by Krynski, including \""300\"", 2001, 4 Square, The Amazing Spider-Man, El Dorado City of Gold, Genie, Spirit of 76, Central Park, Royal Flush, Big Shot, and Sing Along."", ""Stan Lee, the co-creator of Spider-Man and public face of Marvel Comics, claimed ownership of one of Krynski's first The Amazing Spider-Man pinball machines off the assembly line in 1980 and kept it in his Marvel office until he auctioned it as part of his \""Stan Lee collection\""."", ""Lee said that \""Over the years, I have spent countless frustrating yet perversely enjoyable hours attempting to play on it, as have numerous colleagues, friends and business associates (some quite famous, though a combination of modesty, shame and my legendary bad memory prevents me from divulging their names here) during their unrelenting pilgrimages to my office.""]",pres,fin,1
History Hauwert is thought and possibly known to have been founded between 950 and 1050 .,History Hauwert is thought but not known to have been founded between 950 and 1050 .,"[""Hauwert is a village in the Dutch province of North Holland."", ""It is a part of the municipality of Medemblik, and lies about 7\u00a0km north of Hoorn.""]",past,fin,none
The ridge is thought and possibly known to be a result of the passage of the Nazca Plate over the Galapagos hotspot .,The ridge is thought but not known to be a result of the passage of the Nazca Plate over the Galapagos hotspot .,"[""The Carnegie Ridge is an aseismic ridge on the Nazca Plate that is being subducted beneath the South American Plate.""]",past,fin,none
They are thought and possibly known to have been formed at least two billion years ago in a catastrophic collision between two larger bodies .,They are thought but not known to have been formed at least two billion years ago in a catastrophic collision between two larger bodies .,"[""The Koronis or Koronian family (), also known as the Lacrimosa family, is a very large asteroid family of stony asteroids, located in the outer region of the asteroid belt.""]",past,fin,none
